Artist,Album,Track,DateTime,Date,Time,Acousticness,Danceability,Energy,Tempo,Valence,Loudness,Instrumentalness,Speechiness
GOT the beat,Step Back,Step Back,2-22-2023 23:44:00,2-22-2023,23:44:00,0.0205,0.636,0.81,161.897,0.611,-2.035,1.04E-05,0.101
BLACKPINK,BORN PINK,Pink Venom,2-22-2023 23:41:00,2-22-2023,23:41:00,0.0145,0.693,0.734,180.06,0.708,-6.189,0,0.202
NewJeans,NewJeans 1st EP New Jeans,Hype Boy,2-22-2023 23:38:00,2-22-2023,23:38:00,0.268,0.593,0.935,99.976,0.783,-3.43,0,0.225
Jennie,SOLO,SOLO,2-22-2023 23:34:00,2-22-2023,23:34:00,0.0861,0.751,0.642,95.045,0.388,-5.165,0,0.087
Taylor Swift,Fearless (Taylors Version),You Belong with Me (Taylors Version),2-22-2023 23:32:00,2-22-2023,23:32:00,0.0623,0.632,0.773,130.033,0.474,-4.856,0,0.0346
NMIXX,AD MARE,O.O,2-22-2023 23:29:00,2-22-2023,23:29:00,0.0354,0.39,0.767,200.263,0.285,-3.918,4.26E-06,0.293
TWICE,Formula of Love: O+T=<3,SCIENTIST,2-22-2023 23:26:00,2-22-2023,23:26:00,0.0487,0.786,0.858,112.999,0.649,-3.74,0,0.0675
JEON SOMI,XOXO,Anymore,2-22-2023 23:22:00,2-22-2023,23:22:00,0.0154,0.731,0.549,137.915,0.449,-6.749,9.12E-06,0.0329
NCT 127,Ay-Yo - The 4th Album Repackage,Ay-Yo,2-22-2023 23:09:00,2-22-2023,23:09:00,0.00629,0.753,0.845,90.002,0.413,-2.751,0,0.121
Seventeen,Seventeen 4th Album Face the Sun,HOT,2-22-2023 23:06:00,2-22-2023,23:06:00,0.0539,0.765,0.777,111.944,0.64,-4.376,2.58E-06,0.0399
NCT,NCT 2018 EMPATHY,TOUCH,2-22-2023 23:02:00,2-22-2023,23:02:00,0.0391,0.595,0.806,93.126,0.616,-4.644,0,0.141
ITZY,ITz ME,WANNABE,2-22-2023 23:02:00,2-22-2023,23:02:00,0.00795,0.809,0.911,122.035,0.64,-4.41,0.000179,0.0617
Kai,Kai - The 1st Mini Album,Mmmh,2-22-2023 22:30:00,2-22-2023,22:30:00,0.202,0.659,0.718,136.96,0.297,-5.607,1.01E-06,0.0507
Kai,Kai - The 1st Mini Album,Mmmh,2-22-2023 22:28:00,2-22-2023,22:28:00,0.202,0.659,0.718,136.96,0.297,-5.607,1.01E-06,0.0507
Kai,Kai - The 1st Mini Album,Mmmh,2-22-2023 22:20:00,2-22-2023,22:20:00,0.202,0.659,0.718,136.96,0.297,-5.607,1.01E-06,0.0507
Kai,Kai - The 1st Mini Album,Mmmh,2-22-2023 22:18:00,2-22-2023,22:18:00,0.202,0.659,0.718,136.96,0.297,-5.607,1.01E-06,0.0507
Jennie,SOLO,SOLO,2-22-2023 22:13:00,2-22-2023,22:13:00,0.0861,0.751,0.642,95.045,0.388,-5.165,0,0.087
NCT DREAM,NCT RESONANCE Pt. 1 - The 2nd Album,Déjà Vu,2-22-2023 22:09:00,2-22-2023,22:09:00,0.075,0.438,0.881,171.909,0.419,-3.451,0,0.179
ITZY,GUESS WHO,In the morning,2-22-2023 22:05:00,2-22-2023,22:05:00,0.0823,0.846,0.814,140.055,0.722,-4.685,0.00094,0.149
BLACKPINK,BLACKPINK 2018 TOUR IN YOUR AREA SEOUL (Live),DDU-DU DDU-DU - Live,2-22-2023 22:01:00,2-22-2023,22:01:00,0.0184,0.55,0.901,139.916,0.359,-4.635,5.07E-06,0.228
Rich Brian,Brightside,New Tooth,2-22-2023 21:57:00,2-22-2023,21:57:00,0.631,0.788,0.678,120.019,0.39,-8.584,0.233,0.0386
NCT 127,LOVEHOLIC,gimme gimme,2-22-2023 21:53:00,2-22-2023,21:53:00,0.107,0.612,0.846,126.041,0.611,-2.371,0,0.0391
TWICE,Formula of Love: O+T=<3,ICON,2-22-2023 21:49:00,2-22-2023,21:49:00,0.0338,0.746,0.809,149.984,0.816,-3.571,0,0.0484
Frank Ocean,channel ORANGE,Thinkin Bout You,2-22-2023 21:43:00,2-22-2023,21:43:00,0.409,0.721,0.339,129.83,0.2,-11.195,0.00153,0.0532
Crush,OHIO,OHIO,2-22-2023 20:50:00,2-22-2023,20:50:00,0.414,0.791,0.871,94.941,0.687,-3.536,5.60E-06,0.152
BAEKHYUN,Delight - The 2nd Mini Album,Candy,2-22-2023 20:43:00,2-22-2023,20:43:00,0.24,0.649,0.767,149.918,0.608,-3.838,0,0.0455
J. Cole,Cole World: The Sideline Story,Work Out,2-22-2023 20:43:00,2-22-2023,20:43:00,0.0531,0.831,0.427,93.004,0.216,-6.903,0,0.106
Taeyang,Solar,Wedding Dress,2-22-2023 20:36:00,2-22-2023,20:36:00,0.122,0.729,0.669,133.943,0.707,-4.73,0,0.0347
WayV,Kick Back - The 3rd Mini Album,Action Figure,2-22-2023 20:15:00,2-22-2023,20:15:00,0.137,0.701,0.787,102.018,0.537,-2.56,0,0.0523
Britney Spears,Oops!... I Did It Again,Stronger,2-22-2023 20:12:00,2-22-2023,20:12:00,0.128,0.707,0.923,108.049,0.842,-3.957,0.000437,0.0521
Beyoncé,RENAISSANCE,ALIEN SUPERSTAR,2-22-2023 20:10:00,2-22-2023,20:10:00,0.00453,0.545,0.641,121.892,0.464,-6.398,6.59E-05,0.0998
Terabrite,Say Amen (Saturday Night),Say Amen (Saturday Night),2-22-2023 20:10:00,2-22-2023,20:10:00,0.000487,0.395,0.941,167.966,0.454,-3.664,0,0.0915
Loona,[12:00],Why Not?,2-22-2023 20:06:00,2-22-2023,20:06:00,0.104,0.806,0.934,128.016,0.444,-0.836,0.00108,0.11
kirin,The Town,Sachi (feat. Plastic Kid),2-22-2023 19:59:00,2-22-2023,19:59:00,0.0553,0.736,0.906,110.04,0.839,-5.163,0,0.066
Marina,FROOT,Im a Ruin,2-22-2023 19:56:00,2-22-2023,19:56:00,0.048,0.345,0.724,110.148,0.381,-7.521,0.00026,0.0444
Mitski,Retired from Sad New Career in Business,Strawberry Blond,2-22-2023 19:53:00,2-22-2023,19:53:00,0.839,0.51,0.545,77.92,0.941,-8.299,0,0.0928
Denzel Curry,Melt My Eyez See Your Future,Troubles [Feat. T-Pain],2-22-2023 19:51:00,2-22-2023,19:51:00,0.546,0.78,0.751,180.008,0.899,-4.681,3.36E-05,0.177
Royal Blood,How Did We Get So Dark?,How Did We Get So Dark?,2-22-2023 19:45:00,2-22-2023,19:45:00,0.00177,0.568,0.871,133.064,0.693,-5.235,0.000406,0.0494
Justin Bieber,Holy,Holy (feat. Chance the Rapper),2-22-2023 19:39:00,2-22-2023,19:39:00,0.196,0.673,0.704,86.919,0.372,-8.056,0,0.36
High School Musical,High School Musical 3: Senior Year,Just Wanna Be With You,2-22-2023 19:36:00,2-22-2023,19:36:00,0.312,0.547,0.723,102.003,0.377,-4.804,0,0.0323
Rich Brian,The Sailor,Yellow (feat. Bekon),2-22-2023 19:32:00,2-22-2023,19:32:00,0.217,0.447,0.53,75.917,0.0621,-5.028,4.25E-05,0.028
Natasha Bedingfield,Unwritten,Unwritten,2-22-2023 19:27:00,2-22-2023,19:27:00,0.00584,0.706,0.8,100.011,0.629,-6.333,0,0.0399
Phoebe Ryan,Forgetting All About You feat. Blackbear,Forgetting All About You feat. Blackbear,2-22-2023 19:23:00,2-22-2023,19:23:00,0.0201,0.717,0.668,80.02,0.936,-4.845,0,0.0693
BTS,LOVE YOURSELF 轉 Tear,Airplane pt.2,2-22-2023 19:20:00,2-22-2023,19:20:00,0.0265,0.77,0.817,139.979,0.866,-4.092,0.000103,0.0339
half•alive,still feel.,still feel.,2-22-2023 19:16:00,2-22-2023,19:16:00,0.148,0.779,0.516,120.026,0.715,-6.467,0,0.0521
Crush,Interlude,woo ah,2-22-2023 19:11:00,2-22-2023,19:11:00,0.399,0.663,0.598,140.005,0.58,-8.103,0,0.0551
Louis the Child,Weekend,Weekend,2-22-2023 19:09:00,2-22-2023,19:09:00,0.26,0.684,0.774,84.991,0.448,-5.951,0,0.188
THE BOYZ,THE BOYZ 5th MINI ALBUM [CHASE],The Stealer,2-22-2023 19:05:00,2-22-2023,19:05:00,0.0277,0.789,0.86,115.956,0.403,-4.042,0,0.0615
Yurie Kokubu,STEPS +2,リフレイン,2-22-2023 19:01:00,2-22-2023,19:01:00,0.129,0.763,0.842,126.845,0.779,-4.671,3.63E-05,0.0667
NMIXX,ENTWURF,DICE,2-22-2023 18:58:00,2-22-2023,18:58:00,0.0848,0.556,0.798,131.096,0.628,-3.331,0,0.254
Crystal Tea,그곳에 닿아줘 There There,그곳에 닿아줘 There There,2-22-2023 18:57:00,2-22-2023,18:57:00,2.04E-05,0.304,0.908,179.898,0.596,-3.843,0.00551,0.0748
Crystal Tea,There There,그곳에 닿아줘 There There,2-22-2023 18:54:00,2-22-2023,18:54:00,2.04E-05,0.304,0.908,179.898,0.596,-3.843,0.00551,0.0748
Girls Generation,Girls Generation 4th Mini Album Mr. Mr.,Wait a Minute,2-22-2023 18:50:00,2-22-2023,18:50:00,0.0696,0.654,0.895,133.998,0.929,-3.454,4.28E-05,0.0533
Alanis Morissette,Jagged Little Pill (2015 Remaster),You Oughta Know - 2015 Remaster,2-22-2023 18:46:00,2-22-2023,18:46:00,0.21,0.665,0.834,105.292,0.411,-7.737,0,0.0576
Still Woozy,Goodie Bag,Goodie Bag,2-22-2023 18:44:00,2-22-2023,18:44:00,0.821,0.739,0.522,138.263,0.619,-12.304,0.00124,0.151
BTS,WINGS,21st Century Girl,2-22-2023 18:40:00,2-22-2023,18:40:00,0.00424,0.716,0.906,101.029,0.763,-3.539,0,0.0719
TWICE,Taste of Love,Baby Blue Love,2-22-2023 18:38:00,2-22-2023,18:38:00,0.0313,0.759,0.838,115.056,0.72,-3.201,1.00E-06,0.0481
Trillian,Remember You Omnichord,Remember You Omnichord,2-22-2023 18:35:00,2-22-2023,18:35:00,0.818,0.19,0.245,147.044,0.0399,-11.984,0.000115,0.0327
3YE,OOMM (Out of My Mind),OOMM (Out of My Mind),2-22-2023 18:30:00,2-22-2023,18:30:00,0.0533,0.718,0.88,150.063,0.399,-3.211,1.15E-05,0.0913
Flavour,Blessed,Shake,2-22-2023 18:27:00,2-22-2023,18:27:00,0.263,0.72,0.949,125.072,0.96,-3.597,0,0.225
Phantogram,Eyelid Movies,Mouthful of Diamonds,2-22-2023 18:22:00,2-22-2023,18:22:00,0.138,0.613,0.815,99.983,0.219,-4.541,0.821,0.0295
Youth With You,XOXO + Youth With You 2,YES! OK! + YOUTH WITH YOU 2 THEME SONG,2-22-2023 18:04:00,2-22-2023,18:04:00,0.0851,0.694,0.867,126.077,0.521,-4.811,3.82E-06,0.0629
Peach Pit,Being so Normal,Drop the Guillotine,2-22-2023 9:43:00,2-22-2023,9:43:00,0.0381,0.514,0.881,87.541,0.577,-6.52,9.55E-06,0.0629
(G)I-DLE,I NEVER DIE,MY BAG,2-22-2023 9:41:00,2-22-2023,9:41:00,0.0864,0.838,0.823,94.024,0.759,-3.929,7.12E-05,0.164
Dreamer Isioma,Sensitive,Sensitive,2-22-2023 9:39:00,2-22-2023,9:39:00,0.164,0.604,0.65,89.729,0.354,-6.979,3.90E-05,0.132
ratwyfe,mushroom melancholia,Impostor Syndrome,2-22-2023 9:36:00,2-22-2023,9:36:00,0.976,0.529,0.158,91.683,0.296,-13.398,6.71E-05,0.0919
ratwyfe,mushroom melancholia,three of swords,2-22-2023 9:34:00,2-22-2023,9:34:00,0.955,0.558,0.29,97.085,0.0699,-11.695,0.00917,0.0695
Metric,Old World Underground Where Are You Now?,Dead Disco,2-22-2023 9:31:00,2-22-2023,9:31:00,5.16E-05,0.521,0.844,138.443,0.666,-6.8,0.0104,0.0315
Girls Generation,Girls Generation,Merry-Go-Round,2-22-2023 9:28:00,2-22-2023,9:28:00,0.225,0.711,0.749,99.967,0.663,-4.022,0,0.0303
BANKS,Gimme,Gimme,2-22-2023 9:23:00,2-22-2023,9:23:00,0.501,0.762,0.619,120.022,0.596,-5.227,2.19E-05,0.102
Little Simz,NO THANK YOU,Silhouette,2-22-2023 9:16:00,2-22-2023,9:16:00,0.768,0.78,0.831,95.244,0.334,-6.424,0.000402,0.102
VanJess,Silk Canvas,Cool Off the Rain (Interlude),2-22-2023 9:14:00,2-22-2023,9:14:00,0.325,0.552,0.549,171.924,0.232,-9.502,3.20E-05,0.166
Native Sound System,Runaway,Runaway,2-22-2023 9:10:00,2-22-2023,9:10:00,0.213,0.352,0.391,98.577,0.0726,-7.294,0.00611,0.0364
Joji,Nectar,NITROUS,2-22-2023 9:07:00,2-22-2023,9:07:00,0.556,0.827,0.549,127.992,0.381,-8.188,0.689,0.0343
Joji,Nectar,NITROUS,2-22-2023 9:05:00,2-22-2023,9:05:00,0.556,0.827,0.549,127.992,0.381,-8.188,0.689,0.0343
Joji,Nectar,NITROUS,2-22-2023 9:03:00,2-22-2023,9:03:00,0.556,0.827,0.549,127.992,0.381,-8.188,0.689,0.0343
Joji,Nectar,NITROUS,2-22-2023 9:01:00,2-22-2023,9:01:00,0.556,0.827,0.549,127.992,0.381,-8.188,0.689,0.0343
Joji,Nectar,NITROUS,2-22-2023 8:59:00,2-22-2023,8:59:00,0.556,0.827,0.549,127.992,0.381,-8.188,0.689,0.0343
Joji,Nectar,NITROUS,2-22-2023 8:57:00,2-22-2023,8:57:00,0.556,0.827,0.549,127.992,0.381,-8.188,0.689,0.0343
Joji,Nectar,NITROUS,2-22-2023 8:55:00,2-22-2023,8:55:00,0.556,0.827,0.549,127.992,0.381,-8.188,0.689,0.0343
Joji,Nectar,NITROUS,2-22-2023 8:53:00,2-22-2023,8:53:00,0.556,0.827,0.549,127.992,0.381,-8.188,0.689,0.0343
Joji,Nectar,NITROUS,2-22-2023 8:50:00,2-22-2023,8:50:00,0.556,0.827,0.549,127.992,0.381,-8.188,0.689,0.0343
Joji,Nectar,NITROUS,2-22-2023 8:48:00,2-22-2023,8:48:00,0.556,0.827,0.549,127.992,0.381,-8.188,0.689,0.0343
Joji,Nectar,NITROUS,2-22-2023 8:46:00,2-22-2023,8:46:00,0.556,0.827,0.549,127.992,0.381,-8.188,0.689,0.0343
Joji,Nectar,NITROUS,2-22-2023 8:44:00,2-22-2023,8:44:00,0.556,0.827,0.549,127.992,0.381,-8.188,0.689,0.0343
Joji,Nectar,NITROUS,2-22-2023 8:42:00,2-22-2023,8:42:00,0.556,0.827,0.549,127.992,0.381,-8.188,0.689,0.0343
Joji,Nectar,NITROUS,2-22-2023 8:40:00,2-22-2023,8:40:00,0.556,0.827,0.549,127.992,0.381,-8.188,0.689,0.0343
Joji,Nectar,NITROUS,2-22-2023 8:37:00,2-22-2023,8:37:00,0.556,0.827,0.549,127.992,0.381,-8.188,0.689,0.0343
Joji,Nectar,NITROUS,2-22-2023 8:35:00,2-22-2023,8:35:00,0.556,0.827,0.549,127.992,0.381,-8.188,0.689,0.0343
Joji,Nectar,NITROUS,2-22-2023 8:33:00,2-22-2023,8:33:00,0.556,0.827,0.549,127.992,0.381,-8.188,0.689,0.0343
Joji,Nectar,NITROUS,2-22-2023 8:31:00,2-22-2023,8:31:00,0.556,0.827,0.549,127.992,0.381,-8.188,0.689,0.0343
Paramore,RIOT!,Misery Business,2-22-2023 8:11:00,2-22-2023,8:11:00,0.00272,0.517,0.906,172.977,0.731,-3.677,9.26E-06,0.0735
Petite Meller,Lil Empire,Baby Love,2-22-2023 8:07:00,2-22-2023,8:07:00,0.2,0.621,0.915,130.013,0.818,-5.224,0.00332,0.0411
TWICE,FANCY YOU,FANCY,2-22-2023 8:07:00,2-22-2023,8:07:00,0.0122,0.697,0.874,132.018,0.775,-2.15,0,0.0449
Petite Meller,Lil Empire,Baby Love,2-22-2023 5:50:00,2-22-2023,5:50:00,0.2,0.621,0.915,130.013,0.818,-5.224,0.00332,0.0411
Destinys Child,Survivor,Survivor,2-22-2023 5:46:00,2-22-2023,5:46:00,0.0559,0.514,0.911,161.109,0.619,-2.027,0,0.41
SuperM,Super One -The 1st Album,Dangerous Woman,2-22-2023 5:43:00,2-22-2023,5:43:00,0.354,0.68,0.787,139.997,0.691,-2.89,0,0.0468
J.Bass,Dancing in my closet (feat. Lee go do),Dancing in my closet (feat. Lee go do),2-22-2023 5:40:00,2-22-2023,5:40:00,0.84,0.789,0.443,92.012,0.732,-8.852,0.00028,0.0376
TWICE,twicetagram,LIKEY,2-22-2023 5:37:00,2-22-2023,5:37:00,0.413,0.723,0.903,132.006,0.443,-1.262,0.000377,0.033
Clairo,Sling,Little Changes,2-22-2023 5:31:00,2-22-2023,5:31:00,0.982,0.415,0.0778,62.85,0.178,-21.716,3.44E-05,0.0434
Trillian,Remember You Omnichord,Remember You Omnichord,2-22-2023 5:29:00,2-22-2023,5:29:00,0.818,0.19,0.245,147.044,0.0399,-11.984,0.000115,0.0327
Steven Universe,Steven Universe Vol. 1 (Original Soundtrack),Love Like You (feat. Rebecca Sugar) - End Credits,2-22-2023 5:21:00,2-22-2023,5:21:00,0.879,0.591,0.242,118.001,0.292,-10.098,0,0.0312
Trillian,Remember You Omnichord,Remember You Omnichord,2-22-2023 5:18:00,2-22-2023,5:18:00,0.818,0.19,0.245,147.044,0.0399,-11.984,0.000115,0.0327
DPSM,Remember You (from Adventure Time) [Piano Instrumental],Remember You (from Adventure Time) - Piano Instrumental,2-22-2023 5:10:00,2-22-2023,5:10:00,0.983,0.383,0.163,86.143,0.0397,-17.324,0.886,0.0475
The Marcus Hedges Trend Orchestra,Adventure Time: Themes from Marceline,I Remember You (From Adventure Time),2-22-2023 5:05:00,2-22-2023,5:05:00,0.979,0.438,0.093,69.944,0.119,-15.876,0.000693,0.031
Anjelica Jayes,Echos,I Remember You (Adventure Time),2-22-2023 5:04:00,2-22-2023,5:04:00,0.965,0.293,0.301,93.062,0.143,-10.196,0.268,0.0324
Trillian,Remember You Omnichord,Remember You Omnichord,2-22-2023 5:01:00,2-22-2023,5:01:00,0.818,0.19,0.245,147.044,0.0399,-11.984,0.000115,0.0327
Youth With You,XOXO + Youth With You 2,YES! OK! + YOUTH WITH YOU 2 THEME SONG,2-22-2023 4:47:00,2-22-2023,4:47:00,0.0851,0.694,0.867,126.077,0.521,-4.811,3.82E-06,0.0629
Juice WRLD,Goodbye & Good Riddance,Lucid Dreams,2-22-2023 4:43:00,2-22-2023,4:43:00,0.349,0.511,0.566,83.903,0.218,-7.23,0,0.2
Marina,Ancient Dreams in a Modern Land,Goodbye,2-22-2023 4:38:00,2-22-2023,4:38:00,0.878,0.408,0.229,127.423,0.148,-9.261,1.93E-06,0.0328
Rich Brian,Chaos,Chaos,2-22-2023 4:36:00,2-22-2023,4:36:00,0.0115,0.809,0.581,149.949,0.369,-8.294,0.000513,0.195
Phantogram,Eyelid Movies,Mouthful of Diamonds,2-22-2023 2:07:00,2-22-2023,2:07:00,0.138,0.613,0.815,99.983,0.219,-4.541,0.821,0.0295
AWOLNATION,Megalithic Symphony Deluxe,Not Your Fault,2-22-2023 2:03:00,2-22-2023,2:03:00,0.000855,0.591,0.736,143.981,0.644,-5.239,0,0.0354
TWICE,CRY FOR ME,CRY FOR ME,2-22-2023 2:00:00,2-22-2023,2:00:00,0.0542,0.702,0.692,144.896,0.419,-5.405,0,0.0539
Girls Generation,Girls Generation,Merry-Go-Round,2-22-2023 1:57:00,2-22-2023,1:57:00,0.225,0.711,0.749,99.967,0.663,-4.022,0,0.0303
Juice WRLD,Goodbye & Good Riddance,Lucid Dreams,2-22-2023 1:53:00,2-22-2023,1:53:00,0.349,0.511,0.566,83.903,0.218,-7.23,0,0.2
Youth With You,XOXO + Youth With You 2,YES! OK! + YOUTH WITH YOU 2 THEME SONG,2-22-2023 1:53:00,2-22-2023,1:53:00,0.0851,0.694,0.867,126.077,0.521,-4.811,3.82E-06,0.0629
Juice WRLD,Goodbye & Good Riddance,Lucid Dreams,2-22-2023 1:49:00,2-22-2023,1:49:00,0.349,0.511,0.566,83.903,0.218,-7.23,0,0.2
Marina,Ancient Dreams in a Modern Land,Goodbye,2-22-2023 1:45:00,2-22-2023,1:45:00,0.878,0.408,0.229,127.423,0.148,-9.261,1.93E-06,0.0328
Rich Brian,Chaos,Chaos,2-22-2023 1:42:00,2-22-2023,1:42:00,0.0115,0.809,0.581,149.949,0.369,-8.294,0.000513,0.195
Selena Gomez,Fetish (feat. Gucci Mane),Fetish (feat. Gucci Mane),2-21-2023 23:56:00,2-21-2023,23:56:00,0.0204,0.708,0.618,123.013,0.265,-4.424,6.81E-06,0.0592
Rihanna,Talk That Talk,Cockiness (Love It),2-21-2023 23:53:00,2-21-2023,23:53:00,0.00117,0.673,0.774,124.999,0.261,-7.097,0.000581,0.0572
Kanye West,Donda,Jail Pt 2,2-21-2023 23:48:00,2-21-2023,23:48:00,0.453,0.7,0.572,109.985,0.686,-6.459,0,0.0515
Rich Brian,Love In My Pocket,Love In My Pocket,2-21-2023 23:44:00,2-21-2023,23:44:00,0.02,0.832,0.615,113.017,0.77,-7.948,0,0.0351
TWICE,Eyes wide open,I CANT STOP ME,2-21-2023 23:41:00,2-21-2023,23:41:00,0.121,0.657,0.88,150.084,0.769,-3.672,0,0.102
Waka Flocka Flame,Flockaveli,No Hands (feat. Roscoe Dash & Wale),2-21-2023 23:01:00,2-21-2023,23:01:00,0.00544,0.76,0.595,131.497,0.361,-6.366,0,0.0391
Raye,Escapism. (Sped Up),Escapism. - Sped Up,2-21-2023 22:58:00,2-21-2023,22:58:00,0.0857,0.435,0.768,107.588,0.378,-5.352,0.000231,0.201
Beyoncé,RENAISSANCE,AMERICA HAS A PROBLEM,2-21-2023 22:54:00,2-21-2023,22:54:00,0.00348,0.789,0.614,126.035,0.108,-6.491,0.00152,0.0579
Saweetie,Best Friend (feat. Doja Cat) [Remix EP] [Extended Edition],Best Friend (feat. Doja Cat),2-21-2023 22:49:00,2-21-2023,22:49:00,0.00302,0.84,0.766,94.018,0.402,-4.12,3.61E-06,0.136
Coi Leray,Trendsetter,Blick Blick (with Nicki Minaj),2-21-2023 22:46:00,2-21-2023,22:46:00,0.222,0.916,0.824,139.926,0.87,-4.444,0.00108,0.422
Megan Thee Stallion,Tina Snow,Hot Girl,2-21-2023 22:32:00,2-21-2023,22:32:00,0.00485,0.872,0.814,98.985,0.57,-4.568,1.96E-06,0.155
Cardi B,Invasion of Privacy,Bodak Yellow,2-21-2023 22:30:00,2-21-2023,22:30:00,0.0659,0.926,0.703,125.022,0.485,-6.337,0,0.103
Normani,Motivation,Motivation,2-21-2023 22:27:00,2-21-2023,22:27:00,0.0192,0.599,0.887,170.918,0.881,-3.967,1.21E-06,0.0984
Lizzo,Rumors (feat. Cardi B),Rumors (feat. Cardi B),2-21-2023 22:24:00,2-21-2023,22:24:00,0.13,0.827,0.731,118.992,0.607,-5.524,0,0.088
Normani,Motivation,Motivation,2-21-2023 22:21:00,2-21-2023,22:21:00,0.0192,0.599,0.887,170.918,0.881,-3.967,1.21E-06,0.0984
Lizzo,Rumors (feat. Cardi B),Rumors (feat. Cardi B),2-21-2023 22:18:00,2-21-2023,22:18:00,0.13,0.827,0.731,118.992,0.607,-5.524,0,0.088
Doja Cat,Amala (Deluxe Version),Tia Tamera (feat. Rico Nasty),2-21-2023 22:13:00,2-21-2023,22:13:00,0.019,0.822,0.654,119.884,0.421,-4.623,0,0.132
Ice Spice,In Ha Mood,In Ha Mood,2-21-2023 22:11:00,2-21-2023,22:11:00,0.696,0.768,0.74,141.059,0.532,-6.595,6.81E-06,0.336
ICE SPICE,No Clarity,No Clarity,2-21-2023 22:09:00,2-21-2023,22:09:00,0.591,0.613,0.668,141.826,0.716,-5.812,1.37E-05,0.2
Ice Spice,In Ha Mood,In Ha Mood,2-21-2023 22:07:00,2-21-2023,22:07:00,0.696,0.768,0.74,141.059,0.532,-6.595,6.81E-06,0.336
Yeat,Lyfë,Flawlëss (feat. Lil Uzi Vert),2-21-2023 22:05:00,2-21-2023,22:05:00,0.0715,0.474,0.805,131.001,0.109,-5.997,0,0.332
ICE SPICE,NAME OF LOVE,Name of Love,2-21-2023 22:03:00,2-21-2023,22:03:00,0.575,0.61,0.765,144.032,0.833,-3.553,0,0.184
Yeat,Lyfë,Flawlëss (feat. Lil Uzi Vert),2-21-2023 22:00:00,2-21-2023,22:00:00,0.0715,0.474,0.805,131.001,0.109,-5.997,0,0.332
Glorilla,Tomorrow 2 (with Cardi B),Tomorrow 2 (with Cardi B),2-21-2023 21:56:00,2-21-2023,21:56:00,0.0736,0.795,0.814,160.039,0.68,-3.945,0,0.4
PinkPantheress,Boys a liar Pt. 2,Boys a liar Pt. 2,2-21-2023 21:54:00,2-21-2023,21:54:00,0.252,0.696,0.809,132.962,0.857,-8.254,0.000128,0.05
Lola Brooke,Dont Play With It (feat. Billy B),Dont Play With It (feat. Billy B),2-21-2023 21:52:00,2-21-2023,21:52:00,0.00377,0.763,0.726,99.042,0.327,-5.61,0,0.109
Flo Milli,You still here Ho ?,Conceited,2-21-2023 21:49:00,2-21-2023,21:49:00,0.0741,0.94,0.761,118.027,0.414,-4.408,1.89E-05,0.0979
Megan Thee Stallion,Something for Thee Hotties,Megans Piano,2-21-2023 21:48:00,2-21-2023,21:48:00,0.00799,0.953,0.621,132.063,0.378,-7.565,4.87E-06,0.154
Ski Mask the Slump God,OOGA BOOGA!,OOGA BOOGA!,2-21-2023 21:45:00,2-21-2023,21:45:00,0.101,0.847,0.916,104.018,0.751,-5.757,0.000766,0.222
Monaleo,Beating Down Yo Block,Beating Down Yo Block,2-21-2023 21:43:00,2-21-2023,21:43:00,0.0132,0.765,0.719,84.997,0.782,-4.982,0,0.299
Glorilla,Tomorrow 2 (with Cardi B),Tomorrow 2 (with Cardi B),2-21-2023 21:40:00,2-21-2023,21:40:00,0.0736,0.795,0.814,160.039,0.68,-3.945,0,0.4
Ice Spice,Like..?,Princess Diana,2-21-2023 21:37:00,2-21-2023,21:37:00,0.289,0.902,0.733,147.977,0.821,-4.056,0,0.164
Lola Brooke,Dont Play With It (feat. Billy B),Dont Play With It (feat. Billy B),2-21-2023 21:35:00,2-21-2023,21:35:00,0.00377,0.763,0.726,99.042,0.327,-5.61,0,0.109
Key,Gasoline - The 2nd Album,Gasoline,2-21-2023 21:32:00,2-21-2023,21:32:00,0.00467,0.605,0.855,150.03,0.662,-2.631,0,0.251
Hozier,Hozier,Take Me to Church,2-21-2023 21:29:00,2-21-2023,21:29:00,0.634,0.566,0.664,128.945,0.437,-5.303,0,0.0464
Flo Milli,You still here Ho ?,Conceited,2-21-2023 21:25:00,2-21-2023,21:25:00,0.0741,0.94,0.761,118.027,0.414,-4.408,1.89E-05,0.0979
Ski Mask the Slump God,OOGA BOOGA!,OOGA BOOGA!,2-21-2023 21:22:00,2-21-2023,21:22:00,0.101,0.847,0.916,104.018,0.751,-5.757,0.000766,0.222
Glorilla,Tomorrow 2 (with Cardi B),Tomorrow 2 (with Cardi B),2-21-2023 21:07:00,2-21-2023,21:07:00,0.0736,0.795,0.814,160.039,0.68,-3.945,0,0.4
BLACKPINK,BORN PINK,Tally,2-21-2023 21:01:00,2-21-2023,21:01:00,0.00777,0.688,0.637,129.902,0.427,-4.85,0,0.031
BLACKPINK,BORN PINK,Tally,2-21-2023 20:54:00,2-21-2023,20:54:00,0.00777,0.688,0.637,129.902,0.427,-4.85,0,0.031
XG,SHOOTING STAR,SHOOTING STAR,2-21-2023 20:39:00,2-21-2023,20:39:00,0.0229,0.625,0.712,163.015,0.398,-5.996,0,0.0539
XG,SHOOTING STAR,SHOOTING STAR,2-21-2023 20:34:00,2-21-2023,20:34:00,0.0229,0.625,0.712,163.015,0.398,-5.996,0,0.0539
